27,4,1,1,1
27,4,1,1,1
10,22,1
7,22,3,1
3,22,4,4
3,22,4,4
3,22,4,3,1
29,3,1
9,22,1,1
23,7,1,1,1,1
27,3,1,1,1
30,1,1,1
32,1
32,1
33


















